Pos	-	t	n	a	k	g	c	y	r	s	w	m	d	v	b	u	h
39	55170	6	25	38905	0	11	4	0	4	0	1	4	0	0	0	0	0
40	52348	15	24	7	0	1	41729	4	0	0	0	2	0	0	0	0	0
41	51216	42876	24	1	0	4	9	0	0	0	0	0	0	0	0	0	0
42	50979	43105	25	4	1	1	10	1	0	0	4	0	0	0	0	0	0
43	50759	43341	24	1	0	0	2	2	0	0	1	0	0	0	0	0	0
44	50590	7	25	8	0	3	43493	1	0	1	0	1	0	0	0	0	1
45	50478	5	27	0	5	43614	1	0	0	0	0	0	0	0	0	0	0
46	49705	1	26	44396	0	2	0	0	0	0	0	0	0	0	0	0	0
47	49636	44459	28	0	3	1	1	1	0	0	0	0	0	0	0	0	1
48	48242	2	21	17	0	0	45838	0	0	0	0	10	0	0	0	0	0
49	48171	45930	22	2	3	1	0	0	0	0	1	0	0	0	0	0	0
50	46827	1	17	1	0	0	47284	0	0	0	0	0	0	0	0	0	0
51	46679	47426	21	0	3	0	1	0	0	0	0	0	0	0	0	0	0
52	46615	47493	20	0	0	1	0	0	0	0	1	0	0	0	0	0	0
53	46564	2	20	0	0	47544	0	0	0	0	0	0	0	0	0	0	0
54	46550	47550	20	1	1	2	3	3	0	0	0	0	0	0	0	0	0
55	3905	0	7	90203	0	2	5	0	5	0	1	2	0	0	0	0	0
56	3477	5	10	1	3	90634	0	0	0	0	0	0	0	0	0	0	0
57	3461	0	11	90656	0	0	0	0	0	0	2	0	0	0	0	0	0
58	3431	90686	12	1	0	0	0	0	0	0	0	0	0	0	0	0	0
59	3419	0	18	0	0	0	90693	0	0	0	0	0	0	0	0	0	0
60	3345	90760	24	0	0	0	0	0	0	0	1	0	0	0	0	0	0
61	3263	44	24	3	1	90794	0	0	1	0	0	0	0	0	0	0	0
62	3233	90870	23	0	0	0	3	1	0	0	0	0	0	0	0	0	0
63	3150	90954	23	0	0	0	2	1	0	0	0	0	0	0	0	0	0
64	3108	12	24	0	0	0	90984	2	0	0	0	0	0	0	0	0	0
65	3017	91080	27	0	0	0	2	3	0	0	1	0	0	0	0	0	0
66	2995	451	27	42	0	0	90605	7	0	0	0	3	0	0	0	0	0
67	2983	91117	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68	2976	5	28	91117	0	1	0	0	2	0	0	1	0	0	0	0	0
69	2962	0	29	91137	0	0	0	0	0	0	2	0	0	0	0	0	0
70	2951	1	38	91139	0	0	0	0	0	0	1	0	0	0	0	0	0
71	2940	0	39	0	0	0	91147	1	0	0	0	3	0	0	0	0	0
72	2937	0	40	1	1	91144	0	0	7	0	0	0	0	0	0	0	0
73	2924	0	43	91161	0	0	0	0	0	0	0	2	0	0	0	0	0
74	2914	0	45	91170	0	0	1	0	0	0	0	0	0	0	0	0	0
75	2832	4	38	0	0	0	91253	2	0	0	0	1	0	0	0	0	0
76	2828	91052	216	6	2	0	1	1	0	0	24	0	0	0	0	0	0
77	2780	91090	254	1	2	0	1	0	0	0	2	0	0	0	0	0	0
78	2522	91197	377	2	23	6	0	1	0	0	2	0	0	0	0	0	0
79	2517	1	361	91247	0	3	1	0	0	0	0	0	0	0	0	0	0
80	2499	1	342	91286	0	1	0	0	0	0	1	0	0	0	0	0	0
81	2443	0	346	91335	0	2	1	0	0	0	3	0	0	0	0	0	0
82	2422	1	342	91362	0	1	0	0	0	0	0	2	0	0	0	0	0
83	2417	91364	341	0	1	1	6	0	0	0	0	0	0	0	0	0	0
84	2402	20	349	1	0	1	91356	1	0	0	0	0	0	0	0	0	0
85	2391	91377	355	0	1	1	4	0	0	0	1	0	0	0	0	0	0
86	2378	0	349	1	1	91401	0	0	0	0	0	0	0	0	0	0	0
87	2371	91408	346	0	1	2	0	2	0	0	0	0	0	0	0	0	0
88	2358	0	333	1	0	91437	0	0	0	1	0	0	0	0	0	0	0
89	2336	91469	322	0	3	0	0	0	0	0	0	0	0	0	0	0	0
90	2325	1	317	1	0	91483	0	0	2	1	0	0	0	0	0	0	0
91	2315	11	315	9	2	91472	4	0	0	0	0	0	0	0	2	0	0
92	2312	19	315	0	0	0	91481	2	0	1	0	0	0	0	0	0	0
93	2310	91500	317	0	1	0	0	2	0	0	0	0	0	0	0	0	0
94	2303	12	312	0	2	91501	0	0	0	0	0	0	0	0	0	0	0
95	2292	91520	312	2	2	1	1	0	0	0	0	0	0	0	0	0	0
96	2280	13	304	2	0	0	91530	0	0	0	0	1	0	0	0	0	0
97	2270	0	302	91553	0	3	0	0	2	0	0	0	0	0	0	0	0
98	2257	8	298	2	0	0	91564	1	0	0	0	0	0	0	0	0	0
99	2243	91582	298	0	2	0	5	0	0	0	0	0	0	0	0	0	0
100	2221	12	296	5	0	0	91593	2	0	0	0	1	0	0	0	0	0
101	2169	2	287	11	1	91658	0	0	2	0	0	0	0	0	0	0	0
102	2155	2	281	4	1	91684	0	0	3	0	0	0	0	0	0	0	0
103	2145	4	287	0	0	0	91691	3	0	0	0	0	0	0	0	0	0
104	2137	91700	291	1	1	0	0	0	0	0	0	0	0	0	0	0	0
105	2123	89	281	1	2	91634	0	0	0	0	0	0	0	0	0	0	0
106	2119	81	295	0	0	1	91628	6	0	0	0	0	0	0	0	0	0
107	2080	0	291	91758	0	0	0	0	1	0	0	0	0	0	0	0	0
108	2067	91775	286	0	0	0	1	0	0	0	1	0	0	0	0	0	0
109	2048	0	284	0	1	91796	0	0	1	0	0	0	0	0	0	0	0
110	2043	9	280	0	0	0	91798	0	0	0	0	0	0	0	0	0	0
111	2041	91797	288	1	0	0	2	1	0	0	0	0	0	0	0	0	0
112	2037	91809	281	0	1	1	0	1	0	0	0	0	0	0	0	0	0
113	2037	0	283	91805	0	4	0	0	1	0	0	0	0	0	0	0	0
114	2021	0	250	1	0	91858	0	0	0	0	0	0	0	0	0	0	0
115	2017	91859	251	0	0	0	3	0	0	0	0	0	0	0	0	0	0
116	2013	0	250	3	0	91862	1	0	1	0	0	0	0	0	0	0	0
117	2004	2	251	0	0	0	91871	2	0	0	0	0	0	0	0	0	0
118	2003	0	257	91868	0	2	0	0	0	0	0	0	0	0	0	0	0
119	1998	1	256	2	0	1	91869	3	0	0	0	0	0	0	0	0	0
120	1995	91875	258	0	0	0	1	1	0	0	0	0	0	0	0	0	0
121	1990	2	262	1	0	0	91875	0	0	0	0	0	0	0	0	0	0
122	1988	0	260	91875	0	7	0	0	0	0	0	0	0	0	0	0	0
123	1985	6	262	0	0	0	91872	5	0	0	0	0	0	0	0	0	0
124	1976	1	264	17	0	91872	0	0	0	0	0	0	0	0	0	0	0
125	1959	4	263	0	0	0	91903	1	0	0	0	0	0	0	0	0	0
126	1958	3	272	91896	0	0	0	0	0	0	1	0	0	0	0	0	0
127	1920	41	234	0	3	91932	0	0	0	0	0	0	0	0	0	0	0
128	1920	91974	235	0	0	0	0	0	0	0	1	0	0	0	0	0	0
129	1914	0	229	91984	0	3	0	0	0	0	0	0	0	0	0	0	0
130	1911	91974	229	0	0	0	14	2	0	0	0	0	0	0	0	0	0
131	1908	0	230	91991	0	0	0	0	1	0	0	0	0	0	0	0	0
132	1897	0	221	92012	0	0	0	0	0	0	0	0	0	0	0	0	0
133	1896	92008	224	0	0	1	0	1	0	0	0	0	0	0	0	0	0
134	1894	92000	233	0	0	0	3	0	0	0	0	0	0	0	0	0	0
135	1885	0	230	92014	0	1	0	0	0	0	0	0	0	0	0	0	0
136	1874	0	262	91987	0	5	0	0	2	0	0	0	0	0	0	0	0
137	1875	91994	256	0	3	0	1	0	0	0	1	0	0	0	0	0	0
138	1868	0	258	92003	0	0	0	0	0	0	1	0	0	0	0	0	0
139	1864	0	235	92025	0	5	0	0	1	0	0	0	0	0	0	0	0
140	1860	24	226	0	0	4	92011	4	0	1	0	0	0	0	0	0	0
141	1856	92037	227	0	0	0	10	0	0	0	0	0	0	0	0	0	0
142	1852	1	222	92052	0	2	0	0	0	0	0	1	0	0	0	0	0
143	1851	3	220	92053	0	2	0	0	1	0	0	0	0	0	0	0	0
144	1844	92069	216	0	0	1	0	0	0	0	0	0	0	0	0	0	0
145	1840	92071	216	0	0	0	3	0	0	0	0	0	0	0	0	0	0
146	1840	0	222	92068	0	0	0	0	0	0	0	0	0	0	0	0	0
147	1839	20	228	2	0	0	92038	3	0	0	0	0	0	0	0	0	0
148	1837	92055	232	5	1	0	0	0	0	0	0	0	0	0	0	0	0
149	1817	1	208	1	3	92100	0	0	0	0	0	0	0	0	0	0	0
150	1815	92093	209	0	0	0	11	2	0	0	0	0	0	0	0	0	0
151	1738	3	210	0	0	0	92179	0	0	0	0	0	0	0	0	0	0
152	1737	0	209	0	1	92182	0	0	1	0	0	0	0	0	0	0	0
153	1736	92169	211	0	0	12	0	1	0	0	1	0	0	0	0	0	0
154	1731	92185	212	0	0	1	0	1	0	0	0	0	0	0	0	0	0
155	1726	1	214	1	0	92188	0	0	0	0	0	0	0	0	0	0	0
156	1725	0	217	92186	0	2	0	0	0	0	0	0	0	0	0	0	0
157	1723	5	225	0	0	0	92176	1	0	0	0	0	0	0	0	0	0
158	1721	0	223	92180	0	0	2	0	2	0	2	0	0	0	0	0	0
159	1714	0	217	1	0	92198	0	0	0	0	0	0	0	0	0	0	0
160	1713	19	213	7	3	92174	0	0	1	0	0	0	0	0	0	0	0
161	1713	3	211	92201	0	2	0	0	0	0	0	0	0	0	0	0	0
162	1712	6	212	0	0	0	92195	4	0	1	0	0	0	0	0	0	0
163	1710	0	211	92206	0	1	1	0	1	0	0	0	0	0	0	0	0
164	1703	0	203	0	0	1	92222	1	0	0	0	0	0	0	0	0	0
165	1702	0	206	2	1	92219	0	0	0	0	0	0	0	0	0	0	0
166	1698	0	203	92229	0	0	0	0	0	0	0	0	0	0	0	0	0
167	1697	4	207	2	3	92214	3	0	0	0	0	0	0	0	0	0	0
168	1694	92228	206	1	0	0	1	0	0	0	0	0	0	0	0	0	0
169	1692	2	206	92217	0	13	0	0	0	0	0	0	0	0	0	0	0
170	1690	0	208	92231	0	1	0	0	0	0	0	0	0	0	0	0	0
171	1626	0	208	1	0	0	92295	0	0	0	0	0	0	0	0	0	0
172	1623	92295	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	1618	6	207	0	0	0	92297	1	0	0	0	1	0	0	0	0	0
174	1614	48	207	27	3	92218	11	0	0	0	0	0	0	0	2	0	0
175	1611	92306	208	0	2	0	3	0	0	0	0	0	0	0	0	0	0
176	1528	4	207	0	0	0	92391	0	0	0	0	0	0	0	0	0	0
177	1519	92393	210	0	1	0	5	2	0	0	0	0	0	0	0	0	0
178	1517	0	207	92401	0	5	0	0	0	0	0	0	0	0	0	0	0
179	1515	92395	213	0	0	2	5	0	0	0	0	0	0	0	0	0	0
180	1511	19	216	0	0	0	92384	0	0	0	0	0	0	0	0	0	0
181	1485	92424	216	1	1	0	2	1	0	0	0	0	0	0	0	0	0
182	1472	92457	200	0	1	0	0	0	0	0	0	0	0	0	0	0	0
183	1451	42	196	0	0	0	92440	1	0	0	0	0	0	0	0	0	0
184	1452	92478	199	0	0	1	0	0	0	0	0	0	0	0	0	0	0
185	1443	11	187	3	0	92486	0	0	0	0	0	0	0	0	0	0	0
186	1440	40	189	1	0	0	92456	4	0	0	0	0	0	0	0	0	0
187	1440	0	193	91947	0	546	0	0	4	0	0	0	0	0	0	0	0
188	1439	3	187	10	0	92491	0	0	0	0	0	0	0	0	0	0	0
189	1434	3	184	30	1	92474	0	0	3	1	0	0	0	0	0	0	0
190	1434	19	185	0	0	1	92491	0	0	0	0	0	0	0	0	0	0
191	1434	92504	189	0	0	0	2	0	0	0	1	0	0	0	0	0	0
192	1425	0	183	0	0	92522	0	0	0	0	0	0	0	0	0	0	0
193	1423	5	182	0	0	0	92520	0	0	0	0	0	0	0	0	0	0
194	1421	92522	184	0	1	1	1	0	0	0	0	0	0	0	0	0	0
195	1420	92529	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0
196	1412	0	182	92535	0	0	0	0	0	0	1	0	0	0	0	0	0
197	1410	3	184	0	0	2	92531	0	0	0	0	0	0	0	0	0	0
198	1406	5	185	7	0	92523	0	0	4	0	0	0	0	0	0	0	0
199	1405	64	182	67	2	92410	0	0	0	0	0	0	0	0	0	0	0
200	1404	92540	185	0	0	0	1	0	0	0	0	0	0	0	0	0	0
201	1369	92569	189	1	1	0	1	0	0	0	0	0	0	0	0	0	0
202	1370	92553	200	0	0	1	5	0	0	0	1	0	0	0	0	0	0
203	1365	117	201	0	0	0	92419	26	0	0	0	2	0	0	0	0	0
204	1365	883	197	9	4	91660	10	0	1	1	0	0	0	0	0	0	0
205	1364	92561	195	0	0	3	7	0	0	0	0	0	0	0	0	0	0
206	1360	4	193	0	0	1	92571	1	0	0	0	0	0	0	0	0	0
207	1357	21	192	1	0	0	92554	4	0	0	0	1	0	0	0	0	0
208	1355	22	190	0	0	92563	0	0	0	0	0	0	0	0	0	0	0
209	1352	92584	188	0	0	0	1	1	0	0	4	0	0	0	0	0	0
210	1346	37	187	1	9	92550	0	0	0	0	0	0	0	0	0	0	0
211	1344	92601	183	0	1	0	1	0	0	0	0	0	0	0	0	0	0
212	1343	92590	185	3	0	0	9	0	0	0	0	0	0	0	0	0	0
213	1340	5	184	2	3	92596	0	0	0	0	0	0	0	0	0	0	0
214	1338	0	191	0	0	0	92601	0	0	0	0	0	0	0	0	0	0
215	1335	1	199	92595	0	0	0	0	0	0	0	0	0	0	0	0	0
216	1327	11	180	2	0	92609	0	0	0	1	0	0	0	0	0	0	0
217	1326	5	182	0	0	0	92616	1	0	0	0	0	0	0	0	0	0
218	1326	39	179	0	0	0	92586	0	0	0	0	0	0	0	0	0	0
219	1322	85	180	9	6	92523	2	0	3	0	0	0	0	0	0	0	0
220	1320	0	180	92629	0	0	0	0	1	0	0	0	0	0	0	0	0
221	1320	92612	182	0	0	1	14	1	0	0	0	0	0	0	0	0	0
222	1327	293	185	0	0	0	92315	10	0	0	0	0	0	0	0	0	0
223	1319	4	183	92622	0	1	0	0	1	0	0	0	0	0	0	0	0
224	1315	92618	188	1	0	0	7	0	0	0	1	0	0	0	0	0	0
225	1313	13	187	0	0	0	92614	1	0	0	0	2	0	0	0	0	0
226	1308	0	187	92635	0	0	0	0	0	0	0	0	0	0	0	0	0
227	1307	0	187	2	0	92634	0	0	0	0	0	0	0	0	0	0	0
228	1307	65	193	0	0	0	92560	5	0	0	0	0	0	0	0	0	0
229	1305	0	187	92636	0	0	2	0	0	0	0	0	0	0	0	0	0
230	1304	1	176	0	0	0	92648	1	0	0	0	0	0	0	0	0	0
231	1301	0	208	92616	0	4	1	0	0	0	0	0	0	0	0	0	0
232	1300	92617	205	0	0	0	6	2	0	0	0	0	0	0	0	0	0
233	1300	2	207	4	0	0	92615	1	0	0	0	1	0	0	0	0	0
234	1298	92621	206	0	0	0	4	1	0	0	0	0	0	0	0	0	0
235	1297	3	206	92622	0	2	0	0	0	0	0	0	0	0	0	0	0
236	1296	0	209	2	0	92623	0	0	0	0	0	0	0	0	0	0	0
237	1293	4	212	1	1	92618	0	0	0	0	0	0	1	0	0	0	0
238	1293	92611	221	0	2	1	0	2	0	0	0	0	0	0	0	0	0
239	1291	92616	221	1	0	0	0	1	0	0	0	0	0	0	0	0	0
240	1293	92611	225	0	0	0	1	0	0	0	0	0	0	0	0	0	0
241	1294	79391	277	1	0	0	13086	80	0	0	1	0	0	0	0	0	0
242	1295	27	225	1	1	92581	0	0	0	0	0	0	0	0	0	0	0
243	1289	92619	221	1	0	0	0	0	0	0	0	0	0	0	0	0	0
244	1289	4	219	1	0	0	92617	0	0	0	0	0	0	0	0	0	0
245	1289	54	220	1	0	0	92564	2	0	0	0	0	0	0	0	0	0
246	1287	12	224	6	1	92600	0	0	0	0	0	0	0	0	0	0	0
247	1285	1	219	3	3	92618	0	0	1	0	0	0	0	0	0	0	0
248	1284	25	220	0	0	92601	0	0	0	0	0	0	0	0	0	0	0
249	1283	92617	228	0	0	0	1	1	0	0	0	0	0	0	0	0	0
250	1281	0	226	0	0	92622	0	0	1	0	0	0	0	0	0	0	0
251	1281	92615	233	0	0	0	1	0	0	0	0	0	0	0	0	0	0
252	1281	18	314	0	1	92516	0	0	0	0	0	0	0	0	0	0	0
253	1277	0	321	92529	0	2	0	0	1	0	0	0	0	0	0	0	0
254	1277	4	316	0	0	0	92532	1	0	0	0	0	0	0	0	0	0
255	1276	2	316	0	0	0	92536	0	0	0	0	0	0	0	0	0	0
256	1270	12	309	3	1	92533	0	0	1	1	0	0	0	0	0	0	0
257	1268	1	319	92536	0	2	2	0	2	0	0	0	0	0	0	0	0
258	1262	0	304	92564	0	0	0	0	0	0	0	0	0	0	0	0	0
259	1260	0	295	92573	0	2	0	0	0	0	0	0	0	0	0	0	0
260	1254	1	283	3	0	92586	1	0	2	0	0	0	0	0	0	0	0
261	1249	2	272	0	3	92602	1	0	0	0	0	0	0	0	1	0	0
262	1248	92610	271	0	0	0	1	0	0	0	0	0	0	0	0	0	0
263	1248	1	270	92606	0	5	0	0	0	0	0	0	0	0	0	0	0
264	1247	2	270	92607	0	2	0	0	1	0	1	0	0	0	0	0	0
265	1242	1	267	1	0	92619	0	0	0	0	0	0	0	0	0	0	0
266	1093	1	262	92773	0	0	0	0	1	0	0	0	0	0	0	0	0
267	294	93572	263	0	0	0	0	1	0	0	0	0	0	0	0	0	0
268	292	0	260	0	0	93578	0	0	0	0	0	0	0	0	0	0	0
269	292	0	262	1	0	93575	0	0	0	0	0	0	0	0	0	0	0
270	292	0	267	93568	0	3	0	0	0	0	0	0	0	0	0	0	0
271	291	12	269	1	0	93557	0	0	0	0	0	0	0	0	0	0	0
272	290	0	272	93568	0	0	0	0	0	0	0	0	0	0	0	0	0
273	289	0	263	1	0	93577	0	0	0	0	0	0	0	0	0	0	0
274	289	291	263	2	0	0	93283	2	0	0	0	0	0	0	0	0	0
275	289	0	263	3	0	0	93574	0	0	1	0	0	0	0	0	0	0
276	289	93578	261	0	0	0	0	2	0	0	0	0	0	0	0	0	0
277	289	93576	260	1	0	0	2	2	0	0	0	0	0	0	0	0	0
278	289	0	259	1	0	93580	0	0	1	0	0	0	0	0	0	0	0
279	289	93580	259	0	0	0	0	2	0	0	0	0	0	0	0	0	0
280	290	11	268	0	0	0	93561	0	0	0	0	0	0	0	0	0	0
281	289	5	264	0	0	0	93571	0	0	0	0	1	0	0	0	0	0
282	289	2	274	0	0	0	93565	0	0	0	0	0	0	0	0	0	0
283	289	93561	275	0	0	0	4	1	0	0	0	0	0	0	0	0	0
284	287	4	274	2	1	93561	0	0	1	0	0	0	0	0	0	0	0
285	284	1	272	9	29	93533	2	0	0	0	0	0	0	0	0	0	0
286	284	93574	271	0	0	0	0	1	0	0	0	0	0	0	0	0	0
287	283	93574	271	0	0	1	1	0	0	0	0	0	0	0	0	0	0
288	281	93578	269	0	1	1	0	0	0	0	0	0	0	0	0	0	0
289	280	8	268	1	0	0	93572	1	0	0	0	0	0	0	0	0	0
290	280	1	267	93581	0	0	0	0	1	0	0	0	0	0	0	0	0
291	280	0	270	93580	0	0	0	0	0	0	0	0	0	0	0	0	0
292	280	10	267	0	0	0	93573	0	0	0	0	0	0	0	0	0	0
293	280	0	267	8	0	93575	0	0	0	0	0	0	0	0	0	0	0
294	280	0	269	93579	0	1	0	0	0	0	0	1	0	0	0	0	0
295	278	0	268	1	0	93580	1	0	2	0	0	0	0	0	0	0	0
296	279	0	272	93578	0	1	0	0	0	0	0	0	0	0	0	0	0
297	278	0	268	93584	0	0	0	0	0	0	0	0	0	0	0	0	0
298	277	0	266	93587	0	0	0	0	0	0	0	0	0	0	0	0	0
299	276	0	273	93581	0	0	0	0	0	0	0	0	0	0	0	0	0
300	274	15	271	0	0	0	93567	3	0	0	0	0	0	0	0	0	0
301	274	0	271	93581	0	2	0	0	0	0	1	1	0	0	0	0	0
302	273	8	272	0	0	0	93576	1	0	0	0	0	0	0	0	0	0
303	273	0	274	93583	0	0	0	0	0	0	0	0	0	0	0	0	0
304	272	3	277	0	0	0	93577	1	0	0	0	0	0	0	0	0	0
305	270	0	275	0	0	93585	0	0	0	0	0	0	0	0	0	0	0
306	270	93581	278	0	0	0	0	0	0	0	1	0	0	0	0	0	0
307	268	7	287	0	0	0	93568	0	0	0	0	0	0	0	0	0	0
308	268	0	279	0	0	0	93583	0	0	0	0	0	0	0	0	0	0
309	268	1	278	93579	0	4	0	0	0	0	0	0	0	0	0	0	0
310	266	0	283	93578	0	0	0	0	1	0	0	2	0	0	0	0	0
311	266	5	283	0	0	0	93575	1	0	0	0	0	0	0	0	0	0
312	266	93576	284	0	0	1	2	1	0	0	0	0	0	0	0	0	0
313	266	2268	285	0	0	0	91287	23	0	0	0	1	0	0	0	0	0
314	266	2	288	93570	0	0	1	0	0	0	3	0	0	0	0	0	0
315	265	3	287	7	1	93567	0	0	0	0	0	0	0	0	0	0	0
316	265	93575	288	0	1	0	0	1	0	0	0	0	0	0	0	0	0
317	265	93576	286	0	0	1	0	1	0	0	1	0	0	0	0	0	0
318	263	93585	280	0	0	0	0	2	0	0	0	0	0	0	0	0	0
319	263	3	279	4	0	93580	0	0	1	0	0	0	0	0	0	0	0
320	258	2	274	0	0	0	93553	3	0	40	0	0	0	0	0	0	0
321	256	0	262	0	0	0	93608	4	0	0	0	0	0	0	0	0	0
322	255	93609	262	0	1	0	0	2	0	0	1	0	0	0	0	0	0
323	253	0	255	0	2	93620	0	0	0	0	0	0	0	0	0	0	0
324	253	93617	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0
325	251	93624	254	0	0	0	0	0	0	0	1	0	0	0	0	0	0
326	248	93636	243	0	0	0	0	1	0	0	2	0	0	0	0	0	0
327	247	93637	244	0	0	0	1	0	0	0	1	0	0	0	0	0	0
328	242	0	234	93654	0	0	0	0	0	0	0	0	0	0	0	0	0
329	237	0	232	0	0	0	93661	0	0	0	0	0	0	0	0	0	0
330	237	0	234	93652	0	0	0	0	6	0	0	1	0	0	0	0	0
331	176	1	211	2	1	93738	0	0	0	1	0	0	0	0	0	0	0
332	165	1	209	0	0	93755	0	0	0	0	0	0	0	0	0	0	0
333	156	93762	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	156	93761	210	0	0	0	3	0	0	0	0	0	0	0	0	0	0
335	156	259	215	0	0	0	93490	10	0	0	0	0	0	0	0	0	0
336	155	0	212	0	1	93762	0	0	0	0	0	0	0	0	0	0	0
337	148	80	217	0	0	0	93661	24	0	0	0	0	0	0	0	0	0
338	148	0	213	0	0	93769	0	0	0	0	0	0	0	0	0	0	0
339	144	0	214	93771	0	1	0	0	0	0	0	0	0	0	0	0	0
340	144	3	211	0	0	0	93771	1	0	0	0	0	0	0	0	0	0
341	139	0	209	1	0	93781	0	0	0	0	0	0	0	0	0	0	0
342	139	93779	211	0	0	0	1	0	0	0	0	0	0	0	0	0	0
343	40	25	54	4	1	94006	0	0	0	0	0	0	0	0	0	0	0
344	39	32	53	1	0	0	94002	3	0	0	0	0	0	0	0	0	0
345	39	94031	56	0	1	2	1	0	0	0	0	0	0	0	0	0	0
346	39	42	57	0	0	0	93988	4	0	0	0	0	0	0	0	0	0
347	39	1	55	10	0	94023	0	0	2	0	0	0	0	0	0	0	0
348	39	94035	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0
349	39	0	56	94035	0	0	0	0	0	0	0	0	0	0	0	0	0
350	36	5	56	1	0	1	94030	1	0	0	0	0	0	0	0	0	0
351	35	0	56	1	0	94036	0	0	2	0	0	0	0	0	0	0	0
352	35	94037	57	0	0	0	1	0	0	0	0	0	0	0	0	0	0
353	35	1	57	5	0	94032	0	0	0	0	0	0	0	0	0	0	0
354	33	1	53	38	0	94005	0	0	0	0	0	0	0	0	0	0	0
355	32	29	53	0	0	0	94012	4	0	0	0	0	0	0	0	0	0
356	30	94042	55	0	0	0	1	2	0	0	0	0	0	0	0	0	0
357	29	94048	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0
358	28	94050	51	0	0	0	0	0	0	0	1	0	0	0	0	0	0
359	28	0	51	0	0	94051	0	0	0	0	0	0	0	0	0	0	0
360	28	0	50	0	0	94051	0	0	1	0	0	0	0	0	0	0	0
361	28	0	50	94030	0	21	0	0	1	0	0	0	0	0	0	0	0
362	28	0	50	12	0	94040	0	0	0	0	0	0	0	0	0	0	0
363	28	0	49	94035	0	18	0	0	0	0	0	0	0	0	0	0	0
364	27	16	48	2	0	0	94036	1	0	0	0	0	0	0	0	0	0
365	27	94050	48	2	1	0	1	1	0	0	0	0	0	0	0	0	0
366	25	2	48	0	0	0	94054	1	0	0	0	0	0	0	0	0	0
367	25	9	47	0	0	0	94048	1	0	0	0	0	0	0	0	0	0
368	25	2	47	2	1	94053	0	0	0	0	0	0	0	0	0	0	0
369	25	94051	53	0	0	0	1	0	0	0	0	0	0	0	0	0	0
